	agg_score	agg_num_comments	agg_gilded	media_attached	weekday	hour	cal_date	over_18	is_self
agg_score	null	[0.0, 0.2608871458088671]	[0.0, 0.08126919850635117]	[0.0, 0.1550439935672654]	[1.3098434476401401e-72, 0.005367781293618279]	[0.0, 0.02607793638778482]	[4.108555484740493e-57, 0.006495016169097261]	[0.0, 0.11670731009326393]	[0.0, 0.2231105491381969]
agg_num_comments	[0.0, 0.2608871458088671]	null	[0.0, 0.07843377517983488]	[0.0, 0.044708068668347936]	[1.5199508361629123e-59, 0.004968365687772516]	[0.0, 0.02343745816204605]	[5.789227103768178e-64, 0.006697069942514639]	[0.0, 0.045466925169786246]	[0.0, 0.05698070800852601]
agg_gilded	[0.0, 0.08126919850635117]	[0.0, 0.07843377517983488]	null	[4.1529924480042636e-118, 0.008413290153971596]	[0.13399095676967857, 0.001913122067012704]	[0.16040222716357219, 0.0033610201779570577]	[0.84313569914838371, 0.003339672926586275]	[2.1565395696578456e-11, 0.00447609197999347]	[0.46065993918009118, 0.00144587930206157]
media_attached	[0.0, 0.1550439935672654]	[0.0, 0.04470806866834795]	[4.1529924480045005e-118, 0.008413290153971596]	null	[0.0, 0.020223410862106554]	[0.0, 0.03436602326698672]	[0.0, 0.022904721245420513]	[0.0, 1.0]	[0.0, 0.9999831525126041]
weekday	[1.3098434476405895e-72, 0.005367781293618274]	[1.5199508361636514e-59, 0.00496836568777251]	[0.13399095676967857, 0.001913122067012704]	[0.0, 0.020223410862106554]	null	[0.0, 0.021893644534312428]	[0.0, 0.9999999999999999]	[1.5391670768620909e-89, 0.011946691533457817]	[8.6298698153815811e-228, 0.018557056751819283]
hour	[0.0, 0.026077936387784825]	[0.0, 0.023437458162046045]	[0.16040222716357699, 0.0033610201779570577]	[0.0, 0.03436602326698674]	[0.0, 0.021893644534312428]	null	[0.0, 0.021681059440862557]	[0.0, 0.02401298122619275]	[0.0, 0.0596230274293847]
cal_date	[4.1085554847402603e-57, 0.0064950161690972615]	[5.7892271037685073e-64, 0.0066970699425146375]	[0.84313569914838404, 0.0033396729265862744]	[0.0, 0.02290472124542051]	[0.0, 1.0]	[0.0, 0.021681059440862564]	null	[0.0, 0.031997347488815255]	[2.6079344617431289e-261, 0.021213763498884035]
over_18	[0.0, 0.11670731009326393]	[0.0, 0.04546692516978624]	[2.1565395696578456e-11, 0.00447609197999347]	[0.0, 1.0]	[1.5391670768620027e-89, 0.011946691533457818]	[0.0, 0.024012981226192758]	[0.0, 0.03199734748881527]	null	[0.0, 0.12373861019713163]
is_self	[0.0, 0.22311054913819683]	[0.0, 0.05698070800852598]	[0.46065993918009118, 0.0014458793020615697]	[0.0, 0.9999831525126042]	[8.6298698153864914e-228, 0.01855705675181928]	[0.0, 0.05962302742938468]	[2.6079344617443159e-261, 0.02121376349888404]	[0.0, 0.12373861019713163]	null
